,line,name,lat,lng,2022_average_formonth,휠체어리프트여부,엘리베이터여부,운영수량,설치위치
76,3,경복궁,37.575762,126.97353,20892,N,Y,0,
77,3,안국,37.576477,126.985443,18313,N,Y,1,지하3층 외부 E/V 앞쪽 3m 지점
78,3,종로3가,37.571607,126.991806,17773,N,Y,0,
79,3,을지로3가,37.566295,126.99191,10865,N,Y,0,
80,3,지축,37.648048,126.913951,7686,N,Y,0,
81,3,구파발,37.636763,126.918821,28134,N,Y,0,
82,3,연신내,37.619001,126.921008,61262,N,Y,0,
83,3,불광,37.610469,126.929887,31812,N,Y,1,가 게이트 옆
84,3,녹번,37.600927,126.935756,18437,N,Y,0,
85,3,홍제,37.589066,126.943736,30033,N,Y,0,
86,3,무악재,37.582299,126.950291,5838,N,Y,1,1번출입구에서 지하2층으로 내려온후 좌측 7m
87,3,독립문,37.574571,126.957748,14768,N,Y,1,4번 출입에서 지하1층으로 내려온 후 좌측 65m
88,3,가락시장,37.492522,127.118234,13553,N,Y,1,3호선 고객안내센터 입구쪽 벽면
89,3,경찰병원,37.495918,127.12454,9229,N,Y,0,
90,3,오금,37.502162,127.128111,6730,N,Y,0,
91,3,약수,37.55434,127.010655,19172,N,Y,0,
92,4,남태령,37.463873,126.989134,1558,N,Y,0,
93,4,당고개,37.670272,127.079066,22853,N,Y,0,
94,4,상계,37.660878,127.073572,35459,N,Y,0,
95,4,노원,37.655128,127.061368,29106,N,Y,0,
96,4,창동,37.653166,127.047731,47906,Y,Y,1,1번 출구 북측환승통로
97,4,쌍문,37.648627,127.034709,40000,N,Y,1,2번 출구 나가기 전 벽면
98,4,수유,37.638052,127.025732,56737,N,Y,1,7번 출구 나가기 전 벽면
99,4,미아,37.62667,127.025983,30846,N,Y,0,
100,4,미아사거리,37.613292,127.030053,48742,N,Y,1,6번 출구 물품보관함 옆
101,4,길음,37.603407,127.025053,26167,N,Y,0,
102,4,성신여대입구,37.592624,127.016403,21474,N,Y,0,
103,4,한성대입구,37.588458,127.006221,15598,N,Y,1,역무실 앞
104,4,혜화,37.582336,127.001844,42076,N,Y,1,2번 출구 발매기 옆 
