역명,호선,문화공간,휠체어리프트,만남의장소,환승주차장,자전거보관소,엘리베이터,기차예매역,무인민원발급기,환전키오스크,수유실,충전기운영수량
도봉산,7,N,N,Y,Y,Y,Y,N,N,N,N,1.0
수락산,7,N,Y,Y,Y,Y,Y,N,N,N,Y,1.0
마들,7,N,Y,N,N,Y,Y,N,N,N,N,1.0
노원,7,Y,N,Y,N,Y,Y,N,N,N,Y,1.0
중계,7,N,N,Y,N,Y,Y,N,N,N,N,1.0
하계,7,N,N,Y,N,N,Y,N,N,N,Y,1.0
공릉,7,N,N,N,N,N,Y,N,N,N,N,0.0
태릉입구,7,N,N,Y,N,Y,Y,N,N,N,Y,0.0
먹골,7,N,N,Y,N,Y,Y,N,N,N,N,2.0
중화,7,N,N,Y,N,Y,Y,N,N,N,N,2.0
상봉,7,N,N,Y,N,Y,Y,N,N,N,N,2.0
면목,7,N,N,Y,N,Y,Y,N,N,N,N,2.0
사가정,7,N,N,Y,N,Y,Y,N,N,N,N,2.0
용마산,7,N,N,N,N,Y,Y,N,N,N,N,2.0
중곡,7,N,N,Y,N,Y,Y,N,Y,N,N,1.0
군자,7,N,Y,Y,N,Y,Y,N,Y,N,Y,2.0
어린이대공원,7,Y,N,Y,N,Y,Y,N,N,N,Y,1.0
건대입구,7,N,Y,N,N,Y,Y,N,N,N,N,2.0
뚝섬유원지,7,Y,N,Y,Y,Y,Y,N,N,N,Y,0.0
청담,7,N,Y,Y,N,Y,Y,N,N,N,N,0.0
강남구청,7,N,Y,Y,N,Y,Y,N,N,N,N,0.0
학동,7,N,N,Y,N,Y,Y,N,N,N,N,0.0
논현,7,N,Y,Y,N,Y,Y,N,N,N,Y,2.0
반포,7,N,Y,Y,N,Y,Y,N,N,N,N,2.0
고속터미널,7,N,Y,Y,N,Y,Y,N,N,N,Y,2.0
내방,7,N,N,Y,N,Y,Y,N,N,N,N,2.0
이수,7,Y,Y,Y,N,Y,Y,N,N,N,Y,2.0
남성,7,N,N,Y,N,Y,Y,N,N,N,N,0.0
숭실대입구,7,N,N,N,N,Y,Y,N,Y,N,N,0.0
상도,7,N,N,Y,N,Y,Y,N,N,N,N,0.0
장승배기,7,N,N,Y,N,Y,Y,N,N,N,N,0.0
신대방삼거리,7,N,N,Y,N,Y,Y,N,N,N,N,0.0
보라매,7,N,N,Y,N,Y,Y,N,N,N,N,0.0
신풍,7,N,N,N,N,Y,Y,N,N,N,N,0.0
대림,7,N,Y,N,Y,Y,Y,N,N,N,Y,2.0
남구로,7,N,Y,Y,N,Y,N,N,N,N,N,0.0
가산디지털단지,7,N,Y,Y,N,Y,Y,N,N,N,Y,0.0
철산,7,N,N,Y,N,Y,Y,N,Y,N,N,0.0
광명사거리,7,N,Y,Y,N,Y,Y,N,Y,N,Y,1.0
천왕,7,N,N,Y,Y,Y,Y,N,Y,N,N,2.0
온수,7,N,Y,Y,Y,Y,Y,N,Y,N,Y,2.0
까치울,7,N,N,N,N,Y,Y,N,N,N,Y,
부천종합운동장,7,N,N,N,N,Y,Y,N,Y,N,Y,
춘의,7,N,N,N,N,Y,Y,N,Y,N,Y,
신중동,7,N,N,N,N,Y,Y,N,Y,N,Y,
부천시청,7,Y,N,N,N,Y,Y,N,N,N,Y,
상동,7,Y,N,N,N,Y,Y,N,Y,N,Y,
삼산체육관,7,N,N,N,N,Y,Y,N,N,N,Y,
굴포천,7,Y,N,Y,N,Y,Y,N,N,N,Y,
부평구청,7,Y,N,Y,N,Y,Y,N,N,N,Y,
암사,8,N,N,Y,N,Y,Y,N,Y,N,N,0.0
천호,8,N,Y,Y,Y,Y,Y,N,Y,N,Y,1.0
강동구청,8,N,N,Y,N,Y,Y,N,N,N,N,2.0
몽촌토성,8,N,N,Y,N,Y,Y,N,N,N,Y,1.0
잠실,8,N,Y,N,Y,Y,Y,N,N,N,Y,1.0
석촌,8,N,N,Y,N,Y,Y,N,N,N,N,2.0
송파,8,N,N,N,N,Y,Y,N,N,N,N,0.0
가락시장,8,N,N,N,N,Y,Y,N,N,N,Y,1.0
문정,8,N,N,N,N,Y,Y,N,N,N,N,0.0
장지,8,N,N,Y,N,Y,Y,N,Y,N,Y,2.0
복정,8,N,Y,Y,Y,Y,Y,N,N,N,N,1.0
산성,8,N,N,Y,Y,Y,Y,N,N,N,N,1.0
